,cnpj,razao_social,id_municipio,peso_cobre_ajustado,valor_fob_ajustado,total_peso_municipio,total_valor_fob_municipio
0,21666252000124,ABNER JERUEL MENDES 08628243623,3142601,58691.0,396437.0,17243,168068
1,13604470000106,ABRAHAO SIMAO DE OLIVEIRA FILHO,3134806,58691.0,396437.0,5632,14252
2,71066427000130,ACO SALES LTDA,3152105,58691.0,396437.0,2505195,4798110
3,19599390000196,ALL IN INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,3137809,58691.0,396437.0,575173,1004144
4,17290656000199,AZEITE VERDEOLIVA LTDA,3121100,58691.0,396437.0,3360,23696
5,17141131000191,B1S COMUNICACAO VISUAL LTDA,3117801,58691.0,396437.0,15418,44203
6,13689920000100,BRIGABOA INDUSTRIA E COMERCIO DE CALCADOS LTDA,3133105,58691.0,396437.0,292,17654
7,31659058000175,CADOMA SOLUCOES AUTOMATIZADAS LTDA,3169356,58691.0,396437.0,41566798,30456729
8,23951676000166,DELICIAS DO TRIGO INDUSTRIA LTDA,3111200,58691.0,396437.0,115638,1836501
9,31476152000199,DJ DISTRIBUIDORA LTDA,3114204,58691.0,396437.0,24367,57212
10,10376070000100,DM BRASIL ORDENHADEIRAS LTDA,3149804,58691.0,396437.0,979335,3320407
11,24649676000179,DONA NENEM INDUSTRIA E COMERCIO DE CAFE LTDA,3153400,58691.0,396437.0,29,19437
12,12240924000144,FORCEGEN COMERCIO E CONSULTORIA AGROPECUARIA LTDA,3114402,58691.0,396437.0,20,101150
13,65228694000164,FUNDICAO ALEA LTDA,3114006,58691.0,396437.0,1,638
14,14697430000119,GOUVEIA BRASIL INDUSTRIA E COMERCIO DE BEBIDAS LTDA,3169802,58691.0,396437.0,24337,236069
15,13966854000179,GRIFIT INDUSTRIA E COMERCIO LTDA,3109709,58691.0,396437.0,1713314,5140817
16,13755029000125,IMOLA INDUSTRIA E COMERCIO DE MOVEIS LTDA,3156304,58691.0,396437.0,594780,1455714
17,27935514000195,MARCOS ANTONIO DE SOUZA EIRELI,3131158,58691.0,396437.0,72050,95028
18,28852332000113,MAXCESS - ELETRONICOS FABRICACAO E COMERCIO LTDA,3110509,58691.0,396437.0,3745351,9022200
19,22865246000169,MEGA SAFETY OCULOS DE SEGURANCA LTDA,3123205,58691.0,396437.0,70,4356
20,31427265000102,"MELO E SANTOS SERVICOS, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",3104007,58691.0,396437.0,233021473,34082244
21,13467954000150,MINASFRUIT AGROINDUSTRIA LTDA,3172004,58691.0,396437.0,1017973,1231630
22,27061538000162,MINERACAO MINAS MAR LTDA,3127800,58691.0,396437.0,94,10072
23,19288967000149,MIRIAM MONTEIRO DE AGUIAR,3159902,58691.0,396437.0,99,3626
24,35771000000170,"MOS - IMPORTS, EXPORTS LTDA",3147204,58691.0,396437.0,954384,2326398
25,22193866000107,NEWTON COMERCIO E EXPORTACAO DE CAFE LTDA - EPP,3122009,58691.0,396437.0,273,53116
26,26412428000135,PIZZARIA JLMC & CIA LTDA,3144706,58691.0,396437.0,9837,754803
27,21110440000171,PRODUTOS FAISCA INDUSTRIA COMERCIO LTDA,3128402,58691.0,396437.0,674142,1663656
28,10942185000450,PRT DA SERRA COMERCIO DE RACOES LTDA,3101508,58691.0,396437.0,149760,112393
29,32250731000181,QUALICAR COMERCIO E SERVICOS AUTOMOTIVOS LTDA,3110301,58691.0,396437.0,9250,13981
30,14967747000128,"R. SLIM INDUSTRIA E COMERCIO DE TALAS, CINTAS E SERVICO",3150604,58691.0,396437.0,225,22440
